AgeBand,Tenure,customers,churned,churn_rate
<25,0,18,2,0.1111111111111111
<25,1,43,2,0.046511627906976744
<25,2,41,3,0.07317073170731707
<25,3,46,5,0.10869565217391304
<25,4,46,5,0.10869565217391304
<25,5,45,5,0.1111111111111111
<25,6,40,3,0.075
<25,7,56,6,0.10714285714285714
<25,8,55,2,0.03636363636363636
<25,9,38,5,0.13157894736842105
<25,10,29,2,0.06896551724137931
25–34,0,126,15,0.11904761904761904
25–34,1,325,16,0.04923076923076923
25–34,2,320,25,0.078125
25–34,3,334,27,0.08083832335329341
25–34,4,353,27,0.0764872521246459
25–34,5,314,30,0.09554140127388536
25–34,6,306,28,0.0915032679738562
25–34,7,332,23,0.06927710843373494
25–34,8,339,25,0.07374631268436578
25–34,9,328,23,0.0701219512195122
25–34,10,145,11,0.07586206896551724
35–44,0,169,34,0.20118343195266272
35–44,1,400,79,0.1975
35–44,2,442,73,0.16515837104072398
35–44,3,399,70,0.17543859649122806
35–44,4,370,61,0.16486486486486487
35–44,5,406,65,0.16009852216748768
35–44,6,406,79,0.19458128078817735
35–44,7,408,58,0.14215686274509803
35–44,8,401,73,0.18204488778054864
35–44,9,383,74,0.19321148825065274
35–44,10,197,37,0.18781725888324874
45–54,0,64,33,0.515625
45–54,1,164,89,0.5426829268292683
45–54,2,158,69,0.43670886075949367
45–54,3,131,67,0.5114503816793893
45–54,4,144,81,0.5625
45–54,5,153,75,0.49019607843137253
45–54,6,139,59,0.4244604316546763
45–54,7,147,57,0.3877551020408163
45–54,8,144,65,0.4513888888888889
45–54,9,134,70,0.5223880597014925
45–54,10,80,37,0.4625
55–64,0,23,10,0.43478260869565216
55–64,1,72,40,0.5555555555555556
55–64,2,61,28,0.45901639344262296
55–64,3,72,41,0.5694444444444444
55–64,4,52,25,0.4807692307692308
55–64,5,59,28,0.4745762711864407
55–64,6,44,21,0.4772727272727273
55–64,7,63,31,0.49206349206349204
55–64,8,65,28,0.4307692307692308
55–64,9,65,35,0.5384615384615384
55–64,10,24,12,0.5
65+,0,13,1,0.07692307692307693
65+,1,31,6,0.1935483870967742
65+,2,26,3,0.11538461538461539
65+,3,27,3,0.1111111111111111
65+,4,24,4,0.16666666666666666
65+,5,35,6,0.17142857142857143
65+,6,32,6,0.1875
65+,7,22,2,0.09090909090909091
65+,8,21,4,0.19047619047619047
65+,9,36,6,0.16666666666666666
65+,10,15,2,0.13333333333333333
